case,stratum,iou,precision,recall,f1_score,positioning_error_m,valid_pred,schema_failure,validation_error,n_polygons,is_multipolygon_pred,is_multipolygon_gt,latlon_swap_warning,call_seconds,vlm_request_tokens,vlm_response_tokens,error,evidence
095AB379-F04E-473A-BC0D-8948B58E4090,bad_x_easy,0.000000,0.000000,0.000000,0.000000,2265.36,True,,,1,False,True,,6.28,7833,242,,
115,good_x_medium,0.493825,0.519666,0.908518,0.661155,368.13,True,,,1,False,True,,11.25,10357,437,,
118,good_x_easy,0.000000,0.000000,0.000000,0.000000,560.37,True,,,1,False,True,,6.31,8779,249,,
12:00115:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,1439.99,True,,,1,False,True,,6.98,6261,241,,
12:00125:ART4,bad_x_hard,0.000000,0.000000,0.000000,0.000000,3551.27,True,,,1,False,True,,9.08,10983,227,,
12:00140:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,1249.89,True,,,1,False,True,,14.06,7835,342,,
12:00154:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,633.35,True,,,1,False,True,,6.87,7835,274,,
12:00156:ART4,good_x_medium,0.059322,0.071019,0.264792,0.111999,1341.92,True,,,1,False,True,,5.40,6261,251,,
12:00161:ART4,bad_x_hard,0.000000,0.000000,0.000000,0.000000,591.15,True,,,1,False,True,,6.59,10983,233,,
12:00162:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,2221.14,True,,,1,False,True,,11.42,7835,429,,
22,bad_x_easy,0.000000,0.000000,0.000000,0.000000,67.49,True,,,1,False,True,,7.02,14131,235,,
23:53161:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,1110.30,True,,,1,False,True,,6.76,6261,427,,
3DA282A7-E829-47CF-B842-E03E0C704072,good_x_hard,0.000000,0.000000,0.000000,0.000000,635.85,True,,,1,False,True,,8.83,12537,362,,
4AB36890-E52B-4CCC-9CDE-FB1476FCEB82,bad_x_easy,0.000000,0.000000,0.000000,0.000000,771.65,True,,,1,False,True,,6.75,10017,236,,
5B10B5A8-B0A0-4DB3-9867-55B78F678079,good_x_easy,0.000000,0.000000,0.000000,0.000000,1782.20,True,,,1,False,True,,7.33,10983,322,,
69,good_x_easy,0.000000,0.000000,0.000000,0.000000,76.78,True,,,1,False,True,,8.41,18853,252,,
A4D-21,good_x_medium,0.000000,0.000000,0.000000,0.000000,662.89,True,,,1,False,True,,5.99,11980,324,,
A4D-24,good_x_medium,0.129003,0.185298,0.298058,0.228526,926.75,True,,,1,False,True,,7.85,21764,376,,
A4DA01,good_x_medium,0.000000,0.000000,0.000000,0.000000,2552.84,True,,,1,False,True,,8.85,11984,405,,
A4Ha1,good_x_hard,0.071487,0.075832,0.555058,0.133435,549.16,True,,,3,True,True,,8.81,9764,585,,
A4Sa1,good_x_hard,0.215330,0.272685,0.505866,0.354356,582.35,True,,,1,False,True,,6.10,11207,348,,
A4_088:LL:016,good_x_medium,0.000000,0.000000,0.000000,0.000000,459.68,True,,,1,False,True,,6.75,8818,287,,
ART4:66:00001,good_x_easy,0.000000,0.000000,0.000000,0.000000,1657.81,True,,,1,False,True,,6.46,7835,349,,
Ar4.15,good_x_medium,0.000000,0.000000,0.000000,0.000000,1602.53,True,,,1,False,True,,6.27,6261,362,,
Ar4.2,good_x_easy,0.000000,0.000000,0.000000,0.000000,1151.25,True,,,1,False,True,,8.55,18853,297,,
Ar4.25,good_x_easy,0.000000,0.000000,0.000000,0.000000,1238.73,True,,,1,False,True,,5.19,7835,234,,
Ar4.27,good_x_easy,0.000000,0.000000,0.000000,0.000000,408.24,True,,,1,False,True,,6.19,7835,268,,
Ar4.5,bad_x_medium,0.037301,0.046083,0.163684,0.071919,1309.49,True,,,1,False,True,,7.47,11002,325,,
Ar4.8,bad_x_easy,0.000000,0.000000,0.000000,0.000000,3461.30,True,,,1,False,True,,6.10,9409,268,,
Art4D05,good_x_medium,0.440645,0.485388,0.826996,0.611733,151.31,True,,,1,False,True,,7.23,6955,402,,
B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE,bad_x_medium,0.000000,0.000000,0.000000,0.000000,595.90,True,,,1,False,True,,6.08,14131,275,,
CPA4(4a),good_x_easy,0.000000,0.000000,0.000000,0.000000,1316.33,True,,,1,False,True,,7.99,12557,269,,
DE5A30DA-29A4-45BE-B60A-C201A5F11C6F,good_x_easy,0.000000,0.000000,0.000000,0.000000,526.33,True,,,1,False,True,,5.68,7833,233,,
REG_4:36880,bad_x_hard,0.204707,0.225255,0.691753,0.339846,187.23,True,,,1,False,True,,6.32,9409,296,,
SSA401,good_x_easy,0.000000,0.000000,0.000000,0.000000,14868.75,True,,,1,False,True,,6.09,6261,294,,
SSA410,good_x_easy,0.000000,0.000000,0.000000,0.000000,2412.61,True,,,1,False,True,,4.78,6261,220,,
SSA414,good_x_medium,0.000000,0.000000,0.000000,0.000000,2370.92,True,,,1,False,True,,6.87,6261,375,,
SSA415,good_x_easy,0.000000,0.000000,0.000000,0.000000,391.28,True,,,1,False,True,,5.65,7835,290,,
A4D-04,bad_x_medium,0.116486,0.141418,0.397853,0.208665,2977.66,True,,,1,False,True,,9.45,16893,481,,
498E1484-1D2E-418C-9547-A93AE9A57BB0,good_x_easy,0.000000,0.000000,0.000000,0.000000,2740.14,True,,,2,True,True,,8.24,12126,464,,
