case,stratum,iou,precision,recall,f1_score,positioning_error_m,valid_pred,schema_failure,validation_error,n_polygons,is_multipolygon_pred,is_multipolygon_gt,latlon_swap_warning,call_seconds,vlm_request_tokens,vlm_response_tokens,error,evidence
095AB379-F04E-473A-BC0D-8948B58E4090,bad_x_easy,0.000000,0.000000,0.000000,0.000000,868.70,True,,,1,False,True,,116.67,2559,15952,,
115,good_x_medium,0.791590,0.847061,0.923593,0.883673,65.04,True,,,1,False,True,,102.69,3680,11665,,
118,good_x_easy,0.000000,0.000000,0.000000,0.000000,439.56,True,,,1,False,True,,24.38,3148,2574,,
12:00115:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,1915.63,True,,,1,False,True,,26.99,2616,2973,,
12:00125:ART4,bad_x_hard,0.000000,0.000000,0.000000,0.000000,884.64,True,,,1,False,True,,27.91,3607,3433,,
12:00140:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,1181.15,True,,,1,False,True,,65.59,2543,7704,,
12:00154:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,876.63,True,,,1,False,True,,51.43,3148,7565,,
12:00156:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,1112.45,True,,,1,False,True,,149.59,2011,16071,,
12:00161:ART4,bad_x_hard,0.000000,0.000000,0.000000,0.000000,1669.11,True,,,1,False,True,,50.24,3607,7244,,
12:00162:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,1470.43,True,,,1,False,True,,25.27,2543,2303,,
22,bad_x_easy,0.000000,0.000000,0.000000,0.000000,100.42,True,,,1,False,True,,50.69,5276,5311,,
23:53161:ART4,good_x_medium,0.183629,0.200623,0.684327,0.310281,171.99,True,,,1,False,True,,117.15,2011,12254,,
3DA282A7-E829-47CF-B842-E03E0C704072,good_x_hard,0.249519,0.408957,0.390250,0.399385,197.12,True,,,1,False,True,,141.79,4212,15529,,
498E1484-1D2E-418C-9547-A93AE9A57BB0,good_x_easy,0.044297,0.051144,0.248639,0.084837,1574.87,True,,,1,False,True,,53.34,4153,5097,,
4AB36890-E52B-4CCC-9CDE-FB1476FCEB82,bad_x_easy,0.126670,0.331713,0.170073,0.224858,132.23,True,,,1,False,True,,113.43,3148,12536,,
5B10B5A8-B0A0-4DB3-9867-55B78F678079,good_x_easy,0.325409,0.437442,0.559586,0.491032,114.05,True,,,1,False,True,,130.54,4212,13722,,
69,good_x_easy,0.000000,0.000000,0.000000,0.000000,94.52,True,,,1,False,True,,33.43,6267,3362,,
A4D-04,bad_x_medium,0.631301,0.982140,0.638632,0.773985,185.79,True,,,1,False,True,,79.20,4671,8504,,
A4D-21,good_x_medium,0.000000,0.000000,0.000000,0.000000,587.04,True,,,1,False,True,,65.04,3680,6884,,
A4D-24,good_x_medium,0.000000,0.000000,0.000000,0.000000,1744.94,True,,,1,False,True,,34.85,5735,2733,,
A4DA01,good_x_medium,0.160305,0.197034,0.462354,0.276315,580.01,True,,,1,False,True,,85.21,3692,8169,,
A4Ha1,good_x_hard,0.198407,0.217456,0.693716,0.331117,170.57,True,,,4,True,True,,45.11,1479,4091,,
A4Sa1,good_x_hard,0.465339,0.672649,0.601571,0.635128,261.73,True,,,1,False,True,,61.25,2084,5906,,
A4_088:LL:016,good_x_medium,0.000000,0.000000,0.000000,0.000000,92.18,True,,,1,False,True,,56.65,2543,5600,,
ART4:66:00001,good_x_easy,0.000000,0.000000,0.000000,0.000000,610.51,True,,,1,False,True,,80.30,3148,9291,,
Ar4.15,good_x_medium,0.000000,0.000000,0.000000,0.000000,1003.11,True,,,1,False,True,,60.66,2011,6718,,
Ar4.2,good_x_easy,0.004819,0.009327,0.009871,0.009591,203.61,True,,,1,False,True,,70.24,6267,7325,,
Ar4.25,good_x_easy,0.000000,0.000000,0.000000,0.000000,688.06,True,,,1,False,True,,54.33,3148,6933,,
Ar4.27,good_x_easy,0.038959,0.080137,0.070476,0.074996,149.73,True,,,1,False,True,,64.17,3148,7356,,
Ar4.5,bad_x_medium,0.309365,0.328166,0.843747,0.472542,499.75,True,,,1,False,True,,56.25,3645,6020,,
Ar4.8,bad_x_easy,0.000000,0.000000,0.000000,0.000000,1798.41,True,,,1,False,True,,52.99,3075,5801,,
Art4D05,good_x_medium,0.496788,0.562133,0.810377,0.663805,216.29,True,,,1,False,True,,52.61,2011,6008,,
B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE,bad_x_medium,0.157832,0.181620,0.546497,0.272634,91.16,True,,,1,False,True,,49.64,5276,4298,,
CPA4(4a),good_x_easy,0.000000,0.000000,0.000000,0.000000,480.99,True,,,1,False,True,,57.65,4139,5987,,
DE5A30DA-29A4-45BE-B60A-C201A5F11C6F,good_x_easy,0.000000,0.000000,0.000000,0.000000,333.90,True,,,1,False,True,,137.90,3164,16045,,
REG_4:36880,bad_x_hard,0.268674,0.276986,0.899524,0.423551,186.59,True,,,1,False,True,,99.10,3680,10385,,
SSA401,good_x_easy,0.000000,0.000000,0.000000,0.000000,1580.20,True,,,1,False,True,,74.33,2011,8402,,
SSA410,good_x_easy,0.000000,0.000000,0.000000,0.000000,577.12,True,,,1,False,True,,140.56,2616,15951,,
SSA414,good_x_medium,0.000000,0.000000,0.000000,0.000000,1034.31,True,,,1,False,True,,79.13,2011,10935,,
SSA415,good_x_easy,0.045990,0.056659,0.196284,0.087935,324.54,True,,,1,False,True,,168.59,2543,16059,,
10,good_x_easy,0.000000,0.000000,0.000000,0.000000,676.76,True,,,1,False,True,,64.84,2011,5731,,
11,good_x_easy,0.000000,0.000000,0.000000,0.000000,1318.77,True,,,1,False,True,,66.58,2543,6273,,
12:00114:ART4,good_x_hard,0.000000,0.000000,0.000000,0.000000,321.37,True,,,3,True,True,,50.84,3148,5560,,
12:00116:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,277.10,True,,,1,False,True,,57.62,2616,5336,,
12:00117:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,2308.90,True,,,1,False,True,,23.22,2543,2929,,
12:00120:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,218.62,True,,,1,False,True,,57.35,2543,7039,,
12:00121:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,766.72,True,,,1,False,True,,70.48,4744,9214,,
12:00122:ART4,bad_x_hard,0.000000,0.000000,0.000000,0.000000,473.01,True,,,4,True,True,,85.03,3609,7778,,
12:00124:ART4,bad_x_hard,0.000000,0.000000,0.000000,0.000000,790.79,True,,,2,True,True,,66.53,3609,6012,,
12:00126:ART4,good_x_medium,0.249844,0.295033,0.619949,0.399801,88.78,True,,,1,False,True,,47.17,5276,4720,,
12:00127:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,4293.27,True,,,2,True,True,,203.88,2543,25914,,
12:00128:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,3473.27,True,,,1,False,True,,197.13,3148,18599,,
12:00129:ART4,good_x_medium,0.314984,0.315960,0.990289,0.479069,581.79,True,,,1,False,True,,84.37,2543,8339,,
12:00130:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,677.57,True,,,1,False,True,,24.51,2011,2258,,
12:00141:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,2173.05,True,,,1,False,True,,80.52,2543,8299,,
12:00158:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,841.97,True,,,2,True,True,,162.73,2543,18323,,
12:00160:ART4,good_x_medium,0.244164,0.280214,0.654918,0.392494,582.69,True,,,2,True,True,,48.97,3148,5600,,
12:00164:ART4,bad_x_hard,0.000000,0.000000,0.000000,0.000000,806.95,True,,,1,False,True,,50.08,4212,5230,,
12:00166:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,2046.43,True,,,1,False,True,,96.31,2543,10155,,
12_merged,good_x_medium,0.414297,0.521623,0.668166,0.585870,349.89,True,,,2,True,True,,110.37,2616,12253,,
17:00022:ART4,good_x_hard,0.000138,0.000316,0.000246,0.000277,269.63,True,,,5,True,True,,73.26,3680,8317,,
1D1A9561-7534-409B-9937-29C887F66069,good_x_easy,0.062805,0.074543,0.285111,0.118186,497.28,True,,,1,False,True,,176.01,5808,18187,,
23,bad_x_easy,0.250364,0.301918,0.594518,0.400465,34.45,True,,,1,False,True,,60.00,4744,6495,,
23:00004:REG_4,good_x_hard,0.451758,0.494357,0.839810,0.622360,443.21,True,,,3,True,True,,27.17,4744,4085,,
23:00006:REG_4,good_x_medium,0.809571,0.941501,0.852451,0.894766,150.13,True,,,1,False,True,,32.99,4744,4312,,
23:53135:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,230.56,True,,,1,False,True,,42.79,2011,4359,,
23:53149:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,3997.60,True,,,1,False,True,,93.79,3075,11342,,
23:53155:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,325.31,True,,,1,False,True,,76.36,3148,10215,,
23:53159:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,1338.82,True,,,1,False,True,,118.32,2616,10485,,
23:53160:ART4,good_x_medium,0.158174,0.398318,0.207832,0.273144,362.92,True,,,1,False,True,,62.84,2011,6937,,
23:53162:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,963.37,True,,,1,False,True,,80.36,2011,8940,,
25,good_x_easy,0.000000,0.000000,0.000000,0.000000,149.46,True,,,1,False,True,,57.11,6340,5277,,
2CCA14C4-32BC-443D-9148-22DFE30A3DAC,good_x_easy,0.000000,0.000000,0.000000,0.000000,1192.47,True,,,1,False,True,,30.51,5276,3700,,
32,good_x_easy,0.020647,0.036114,0.045990,0.040458,123.32,True,,,3,True,True,,63.92,4139,6606,,
35046BA6-A370-41C1-8316-8797AF1524DD,good_x_medium,0.000000,0.000000,0.000000,0.000000,599.26,True,,,1,False,True,,148.65,3148,15629,,
42,good_x_easy,0.000000,0.000000,0.000000,0.000000,190.80,True,,,1,False,True,,33.26,4212,2518,,
43,good_x_medium,0.127621,0.214675,0.239378,0.226355,38.79,True,,,5,True,True,,83.44,4671,7589,,
43C82C9C-0E1B-4CAE-83F8-E33277D7AC41,good_x_easy,0.040351,0.061019,0.106449,0.077572,209.07,True,,,2,True,True,,66.01,4212,8333,,
45,bad_x_easy,0.175614,0.218468,0.472371,0.298761,66.22,True,,,1,False,True,,64.52,5276,7070,,
563A71DE-DC37-4251-9F93-7D0EC49A3559,good_x_easy,0.000000,0.000000,0.000000,0.000000,478.41,True,,,1,False,True,,78.51,2545,8167,,
5FA84190-A72E-4E26-A5B2-C17B67D4BB11,good_x_easy,0.000000,0.000000,0.000000,0.000000,1673.68,True,,,1,False,True,,55.67,5317,5559,,
641BF666-7262-4847-9393-17841CF92430,good_x_medium,0.499297,0.693442,0.640724,0.666041,194.39,True,,,1,False,True,,76.08,4671,7882,,
71,bad_x_easy,0.000000,0.000000,0.000000,0.000000,277.79,True,,,1,False,True,,65.77,8929,5274,,
7202D619-4C27-4DA4-857E-B89F78C9D8D5,good_x_easy,0.000000,0.000000,0.000000,0.000000,383.61,True,,,1,False,True,,103.55,3647,11078,,
79,good_x_medium,0.833066,0.877071,0.943194,0.908932,96.55,True,,,1,False,True,,34.68,3680,3107,,
85,good_x_hard,0.151108,0.252439,0.273489,0.262543,147.85,True,,,15,True,True,,76.50,10596,7747,,
