case,stratum,iou,precision,recall,f1_score,positioning_error_m,valid_pred,schema_failure,validation_error,n_polygons,is_multipolygon_pred,is_multipolygon_gt,latlon_swap_warning,call_seconds,vlm_request_tokens,vlm_response_tokens,error,evidence
095AB379-F04E-473A-BC0D-8948B58E4090,bad_x_easy,0.000000,0.000000,0.000000,0.000000,1678.76,True,,,1,False,True,,439.16,3998,11070,,
115,good_x_medium,0.781990,0.956195,0.811045,0.877659,147.65,True,,,1,False,True,,563.72,5564,15119,,
118,good_x_easy,0.000000,0.000000,0.000000,0.000000,277.75,True,,,1,False,True,,504.35,4632,9086,,
12:00115:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,236.21,True,,,1,False,True,,478.73,3065,11834,,
12:00125:ART4,bad_x_hard,0.000000,0.000000,0.000000,0.000000,1974.23,True,,,1,False,True,,582.32,5864,12893,,
12:00140:ART4,good_x_medium,0.000000,0.000000,0.000000,0.000000,1044.68,True,,,1,False,True,,689.95,3998,15212,,
12:00154:ART4,good_x_easy,0.000000,0.000000,0.000000,0.000000,532.98,True,,,1,False,True,,470.97,3998,11978,,
12:00156:ART4,good_x_medium,0.083233,0.083233,1.000000,0.153675,931.93,True,,,1,False,True,,845.16,3065,27085,,
12:00161:ART4,bad_x_hard,0.000000,0.000000,0.000000,0.000000,501.90,True,,,1,False,True,,621.62,5864,13719,,
12:00162:ART4,good_x_medium,0.115821,0.157388,0.304849,0.207597,847.14,True,,,1,False,True,,627.69,3998,13941,,
22,bad_x_easy,0.000000,0.000000,0.000000,0.000000,95.82,True,,,1,False,True,,492.12,7730,7821,,
23:53161:ART4,good_x_medium,0.235561,0.255063,0.754952,0.381302,61.82,True,,,1,False,True,,666.89,3065,17703,,
3DA282A7-E829-47CF-B842-E03E0C704072,good_x_hard,0.032058,0.069770,0.055990,0.062125,714.42,True,,,1,False,True,,622.04,6893,16214,,
498E1484-1D2E-418C-9547-A93AE9A57BB0,good_x_easy,0.038674,0.045142,0.212544,0.074468,194.88,True,,,1,False,True,,725.36,6797,17776,,
4AB36890-E52B-4CCC-9CDE-FB1476FCEB82,bad_x_easy,0.000000,0.000000,0.000000,0.000000,573.49,True,,,1,False,True,,641.31,5585,11487,,
5B10B5A8-B0A0-4DB3-9867-55B78F678079,good_x_easy,0.000000,0.000000,0.000000,0.000000,2173.22,True,,,1,False,True,,992.68,5864,26489,,
69,good_x_easy,0.000000,0.000000,0.000000,0.000000,190.61,True,,,1,False,True,,719.95,10529,13295,,
A4D-04,bad_x_medium,0.687390,0.688719,0.997200,0.814737,171.94,True,,,1,False,True,,546.78,9720,14760,,
A4D-21,good_x_medium,0.101633,0.173553,0.196950,0.184513,251.48,True,,,1,False,True,,712.01,6535,11401,,
A4D-24,good_x_medium,0.009125,0.015540,0.021625,0.018084,460.31,True,,,1,False,True,,821.33,12588,26869,,
A4DA01,good_x_medium,0.000000,0.000000,0.000000,0.000000,478.58,True,,,1,False,True,,697.61,6535,18232,,
A4Ha1,good_x_hard,0.064794,0.064794,1.000000,0.121703,301.05,True,,,3,True,True,,529.03,4864,14742,,
A4Sa1,good_x_hard,0.393726,0.402710,0.946378,0.564998,310.93,True,,,1,False,True,,649.09,7075,15940,,
A4_088:LL:016,good_x_medium,0.160582,0.291451,0.263418,0.276727,57.24,True,,,1,False,True,,743.15,4638,18359,,
ART4:66:00001,good_x_easy,0.050665,0.111778,0.084808,0.096443,91.93,True,,,1,False,True,,995.68,3998,29400,,
Ar4.15,good_x_medium,0.000000,0.000000,0.000000,0.000000,400.05,True,,,1,False,True,,659.94,3065,11762,,
Ar4.2,good_x_easy,0.000000,0.000000,0.000000,0.000000,444.79,True,,,1,False,True,,674.44,10529,9733,,
Ar4.25,good_x_easy,0.000000,0.000000,0.000000,0.000000,1041.55,True,,,1,False,True,,641.17,3998,15831,,
Ar4.27,good_x_easy,0.652367,0.722591,0.870344,0.789615,25.81,True,,,1,False,True,,468.78,3998,9922,,
Ar4.5,bad_x_medium,0.042244,0.055058,0.153633,0.081064,947.24,True,,,1,False,True,,588.43,5864,16112,,
Ar4.8,bad_x_easy,0.000000,0.000000,0.000000,0.000000,4444.02,True,,,1,False,True,,514.07,4931,695,,
Art4D05,good_x_medium,0.409199,0.430572,0.891818,0.580754,218.21,True,,,1,False,True,,397.75,3574,7018,,
B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE,bad_x_medium,0.151798,0.198706,0.391365,0.263584,132.13,True,,,1,False,True,,676.43,7730,16149,,
CPA4(4a),good_x_easy,0.037806,0.062606,0.087125,0.072858,130.48,True,,,1,False,True,,1019.12,6797,22384,,
DE5A30DA-29A4-45BE-B60A-C201A5F11C6F,good_x_easy,0.000000,0.000000,0.000000,0.000000,371.66,True,,,1,False,True,,600.52,3998,10082,,
REG_4:36880,bad_x_hard,0.162868,0.166488,0.882234,0.280115,189.14,True,,,1,False,True,,695.46,4931,15930,,
SSA401,good_x_easy,0.000000,0.000000,0.000000,0.000000,1329.14,True,,,1,False,True,,475.27,3065,12421,,
SSA410,good_x_easy,0.000000,0.000000,0.000000,0.000000,1284.01,True,,,1,False,True,,646.63,3065,11615,,
SSA414,good_x_medium,0.000000,0.000000,0.000000,0.000000,1008.55,True,,,1,False,True,,985.12,3065,24973,,
SSA415,good_x_easy,0.045070,0.078612,0.095539,0.086253,232.31,True,,,1,False,True,,589.46,3998,10834,,
