case,fold,filename,iou,call_seconds,error
095AB379-F04E-473A-BC0D-8948B58E4090,0,095AB379-F04E-473A-BC0D-8948B58E4090.png,0.0017330683294884217,,
0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A,4,0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A.png,0.02779221758498128,,
10,4,10.png,0.0028797000321221554,,
11,2,11.png,0.18293372951273096,1.42,
115,3,115.png,0.24688384895760015,1.46,
118,4,118.png,0.01718202694154413,1.43,
12:00114:ART4,1,12_00114_ART4.png,0.006239457019090995,1.44,
12:00115:ART4,2,12_00115_ART4.png,0.005469784087470232,1.43,
12:00116:ART4,3,12_00116_ART4.png,0.04478206423286515,1.49,
12:00117:ART4,2,12_00117_ART4.png,0.01768357688095248,1.44,
12:00120:ART4,4,12_00120_ART4.png,0.028777609476848317,1.45,
12:00121:ART4,1,12_00121_ART4.png,0.041925927441879014,1.45,
12:00122:ART4,2,12_00122_ART4.png,0.09104282385260018,1.45,
12:00124:ART4,3,12_00124_ART4.png,0.025297961235935803,1.44,
12:00125:ART4,4,12_00125_ART4.png,0.01813712486033337,1.43,
12:00126:ART4,1,12_00126_ART4.png,0.13743425421519215,1.45,
12:00127:ART4,2,12_00127_ART4.png,0.09200482026648679,1.44,
12:00128:ART4,3,12_00128_ART4.png,0.15567224732614277,1.51,
12:00129:ART4,4,12_00129_ART4.png,0.14151344661652326,1.43,
12:00130:ART4,0,12_00130_ART4.png,0.0008213816353351237,1.46,
12:00140:ART4,1,12_00140_ART4.png,0.20808202701122866,1.44,
12:00141:ART4,2,12_00141_ART4.png,0.009915949580164559,1.44,
12:00154:ART4,2,12_00154_ART4.png,0.013168026823360076,1.45,
12:00156:ART4,3,12_00156_ART4.png,0.08535067493333715,1.46,
12:00158:ART4,4,12_00158_ART4.png,0.12599183304516,1.46,
12:00160:ART4,0,12_00160_ART4.png,0.1734141234789433,1.45,
12:00161:ART4,1,12_00161_ART4.png,0.01504001296305008,1.44,
12:00162:ART4,2,12_00162_ART4.png,0.1754865906787718,1.45,
12:00164:ART4,3,12_00164_ART4.png,0.014089931134098302,1.44,
12:00166:ART4,4,12_00166_ART4.png,0.24401959231128784,1.46,
12_merged,0,12_merged.png,0.11921850634140707,1.58,
17:00022:ART4,1,17_00022_ART4.png,0.01930268615793569,1.45,
1D1A9561-7534-409B-9937-29C887F66069,2,1D1A9561-7534-409B-9937-29C887F66069.png,0.27687836238022406,1.5,
22,3,22.png,0.009337702169973995,1.44,
23,4,23.png,0.035386748899645104,1.45,
23:00004:REG_4,0,23_00004_REG_4.png,0.05445719040173355,1.46,
23:00006:REG_4,1,23_00006_REG_4.png,0.20221684124924766,1.46,
23:53135:ART4,2,23_53135_ART4.png,0.011029171988909585,1.47,
23:53149:ART4,3,23_53149_ART4.png,0.14827970749542962,1.49,
23:53155:ART4,4,23_53155_ART4.png,0.10707690749269705,1.47,
23:53159:ART4,0,23_53159_ART4.png,0.18658259393867532,1.46,
23:53160:ART4,1,23_53160_ART4.png,0.18968342928958407,1.55,
23:53161:ART4,2,23_53161_ART4.png,0.24226613679365025,1.53,
23:53162:ART4,3,23_53162_ART4.png,0.1344622405625104,1.45,
25,4,25.png,0.009235824353436907,1.48,
2ACB6DFF-E424-4EB5-BD0C-90BA056BDC64,0,2ACB6DFF-E424-4EB5-BD0C-90BA056BDC64.png,0.02721427502984013,1.66,
2CCA14C4-32BC-443D-9148-22DFE30A3DAC,1,2CCA14C4-32BC-443D-9148-22DFE30A3DAC.png,0.0782673388347848,1.58,
32,2,32.png,0.08207663476230911,1.45,
35046BA6-A370-41C1-8316-8797AF1524DD,3,35046BA6-A370-41C1-8316-8797AF1524DD.png,0.10674961529823276,2.03,
3DA282A7-E829-47CF-B842-E03E0C704072,0,3DA282A7-E829-47CF-B842-E03E0C704072.png,0.05183584202141888,1.38,
42,4,42.png,0.0009248604984475179,1.5,
43,0,43.png,0.15006807256339175,1.49,
43C82C9C-0E1B-4CAE-83F8-E33277D7AC41,1,43C82C9C-0E1B-4CAE-83F8-E33277D7AC41.png,0.13879745101649474,1.46,
45,2,45.png,0.04849138045316916,1.47,
498E1484-1D2E-418C-9547-A93AE9A57BB0,3,498E1484-1D2E-418C-9547-A93AE9A57BB0.png,0.04865546143590459,2.14,
4AB36890-E52B-4CCC-9CDE-FB1476FCEB82,0,4AB36890-E52B-4CCC-9CDE-FB1476FCEB82.png,0.006017204806746392,1.38,
563A71DE-DC37-4251-9F93-7D0EC49A3559,4,563A71DE-DC37-4251-9F93-7D0EC49A3559.png,0.06171199946647216,1.48,
5B10B5A8-B0A0-4DB3-9867-55B78F678079,0,5B10B5A8-B0A0-4DB3-9867-55B78F678079.png,0.0484177885039625,1.64,
5FA84190-A72E-4E26-A5B2-C17B67D4BB11,1,5FA84190-A72E-4E26-A5B2-C17B67D4BB11.png,0.06298526823964556,1.58,
641BF666-7262-4847-9393-17841CF92430,2,641BF666-7262-4847-9393-17841CF92430.png,0.135452255435196,1.63,
69,3,69.png,0.006347371204868282,1.44,
71,4,71.png,0.059088448292816516,1.5,
7202D619-4C27-4DA4-857E-B89F78C9D8D5,0,7202D619-4C27-4DA4-857E-B89F78C9D8D5.png,0.05077197313071994,1.54,
79,1,79.png,0.2700221507841827,1.46,
85,2,85.png,0.09683322397684595,1.48,
8609F3A9-3398-4F70-809B-B7ADF17E541F,3,8609F3A9-3398-4F70-809B-B7ADF17E541F.png,0.025033353455126573,1.66,
862ACE10-49B0-4423-B47D-F771D78D285D,4,862ACE10-49B0-4423-B47D-F771D78D285D.png,0.02344051277126296,1.57,
8CAFB06E-C92F-41CC-B701-6A38171FFAC2,0,8CAFB06E-C92F-41CC-B701-6A38171FFAC2.png,0.016158921121567867,1.49,
983981FC-89B6-466B-A76B-2FC9F050B5CF,1,983981FC-89B6-466B-A76B-2FC9F050B5CF.png,0.09821531436198004,2.06,
A002S,2,A002S.png,0.0031121267825236485,1.39,
A003S,3,A003S.png,0.0009553087484169843,1.47,
A005S,4,A005S.png,0.0012221976013073706,1.47,
A008S,0,A008S.png,0.0008961484095675391,1.45,
A014S,1,A014S.png,0.0007950277180600244,1.46,
A016S,2,A016S.png,0.0008506190348566385,1.47,
A018S,3,A018S.png,0.0005433241015098125,1.46,
A030S,4,A030S.png,0.0006683648666606484,1.47,
A084S,0,A084S.png,0.0008699393898625768,1.45,
A097S,1,A097S.png,0.0004277511893935142,1.46,
A100S,2,A100S.png,0.0028145638136160686,1.45,
A105H,3,A105H.png,0.025974361959460332,1.45,
A108P_p4,1,A108P_p4.png,0.21868320594955812,1.57,
A108P_p5,1,A108P_p5.png,0.29012042269162963,1.56,
A108P_p6,1,A108P_p6.png,0.1505650160183515,1.53,
A4Ba1,4,A4Ba1.png,0.1678067743032299,1.49,
A4D-04,0,A4D-04.png,0.17536018877834433,1.45,
A4D-08,1,A4D-08.png,0.009284378091967785,1.52,
A4D-11,2,A4D-11.png,0.2380352058374205,1.49,
A4D-16,3,A4D-16.png,0.20926854863601999,1.51,
A4D-21,4,A4D-21.png,0.08647199909770208,1.44,
A4D-24,0,A4D-24.png,0.07141068477464016,1.45,
A4D03,1,A4D03.png,0.11508414453398122,1.45,
A4D10,2,A4D10.png,0.1805598060649762,1.45,
A4D10A1,3,A4D10A1.png,0.06855873904548804,1.48,
A4D11,4,A4D11.png,0.35742018561203637,1.48,
A4D12,0,A4D12.png,0.22577548745542111,1.49,
A4D13,1,A4D13.png,0.3671228877239541,1.49,
A4D14,2,A4D14.png,0.032621591417776125,1.46,
A4D14A1,3,A4D14A1.png,0.1346655942162739,1.46,
A4D15,4,A4D15.png,0.3345860730823693,1.48,
A4D16,0,A4D16.png,0.26464277648866036,1.55,
A4D4A1,1,A4D4A1.png,0.217312111282017,1.45,
A4D5,2,A4D5.png,0.26494330038210007,1.49,
A4D5A_merged,3,A4D5A_merged.png,0.029437680965265035,1.46,
A4D6,4,A4D6.png,0.24029045939463356,1.49,
A4D6A_merged_p10,3,A4D6A_merged_p10.png,0.02870572824934839,1.46,
A4D6A_merged_p9,3,A4D6A_merged_p9.png,0.15440354334520584,1.48,
A4D7,0,A4D7.png,0.1850005633940411,1.5,
A4D8,1,A4D8.png,0.05481056728565663,1.48,
A4D8A_merged,2,A4D8A_merged.png,0.02380434256648864,1.47,
A4D9,3,A4D9.png,0.2643984585265544,1.45,
A4DA01,4,A4DA01.png,0.2610803097803,1.68,
A4DA02,0,A4DA02.png,0.14299828105857965,1.49,
A4DA03,1,A4DA03.png,0.041738773555867165,1.49,
A4DA04,2,A4DA04.png,0.3559941535802241,1.51,
