case,fold,filename,iou,call_seconds,error
095AB379-F04E-473A-BC0D-8948B58E4090,0,095AB379-F04E-473A-BC0D-8948B58E4090.png,0.0,,
0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A,4,0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A.png,0.0,,
10,4,10.png,0.0030943622435876087,,
11,2,11.png,0.7708463988118693,1.45,
115,3,115.png,0.9529719717628312,1.52,
118,4,118.png,0.9037424303036156,1.51,
12:00114:ART4,1,12_00114_ART4.png,0.006577706650990958,1.48,
12:00115:ART4,2,12_00115_ART4.png,0.007192245689271872,1.55,
12:00116:ART4,3,12_00116_ART4.png,0.046795798969876526,1.62,
12:00117:ART4,2,12_00117_ART4.png,0.0391781480710491,1.54,
12:00120:ART4,4,12_00120_ART4.png,0.02894984399978071,1.5,
12:00121:ART4,1,12_00121_ART4.png,0.04630699462438425,1.48,
12:00122:ART4,2,12_00122_ART4.png,0.09122259424511978,1.52,
12:00124:ART4,3,12_00124_ART4.png,0.025386122228680124,1.74,
12:00125:ART4,4,12_00125_ART4.png,0.01831003790822184,1.76,
12:00126:ART4,1,12_00126_ART4.png,0.13905783696863913,1.62,
12:00127:ART4,2,12_00127_ART4.png,0.09262131678187249,1.61,
12:00128:ART4,3,12_00128_ART4.png,0.8826692850658614,1.59,
12:00129:ART4,4,12_00129_ART4.png,0.2193068039272251,1.75,
12:00130:ART4,0,12_00130_ART4.png,0.0008231091949117272,1.8,
12:00140:ART4,1,12_00140_ART4.png,0.8240954719994862,1.68,
12:00141:ART4,2,12_00141_ART4.png,0.07724896340364161,1.71,
12:00154:ART4,2,12_00154_ART4.png,0.013031725707782046,1.78,
12:00156:ART4,3,12_00156_ART4.png,0.12924823658104184,1.75,
12:00158:ART4,4,12_00158_ART4.png,0.1193820713962955,1.83,
12:00160:ART4,0,12_00160_ART4.png,0.24868714004597067,1.87,
12:00161:ART4,1,12_00161_ART4.png,0.015499819136904609,1.76,
12:00162:ART4,2,12_00162_ART4.png,0.9482077560645854,1.83,
12:00164:ART4,3,12_00164_ART4.png,0.014367652481707197,1.85,
