case,fold,filename,iou,call_seconds,error
095AB379-F04E-473A-BC0D-8948B58E4090,0,095AB379-F04E-473A-BC0D-8948B58E4090.png,0.9176114890400605,,
0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A,4,0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A.png,0.9604680350893503,,
10,4,10.png,0.8038899082568808,,
11,2,11.png,0.9225017004361434,1.57,
115,3,115.png,0.0717751654841069,1.64,
118,4,118.png,0.9155207110514841,1.7,
12:00114:ART4,1,12_00114_ART4.png,0.009945467425985623,1.68,
12:00115:ART4,2,12_00115_ART4.png,0.31169376612467753,1.67,
12:00116:ART4,3,12_00116_ART4.png,0.07299358305761433,1.61,
12:00117:ART4,2,12_00117_ART4.png,0.6137177261878932,1.61,
12:00120:ART4,4,12_00120_ART4.png,0.9353081668069898,1.6,
12:00121:ART4,1,12_00121_ART4.png,0.9777934133214833,1.66,
12:00122:ART4,2,12_00122_ART4.png,0.4595571657063573,1.69,
12:00124:ART4,3,12_00124_ART4.png,0.19011775107503115,1.67,
12:00125:ART4,4,12_00125_ART4.png,0.08289001852070772,1.6,
12:00126:ART4,1,12_00126_ART4.png,0.0,1.6,
12:00127:ART4,2,12_00127_ART4.png,0.9786774734270278,1.63,
12:00128:ART4,3,12_00128_ART4.png,0.11398480091829517,1.77,
12:00129:ART4,4,12_00129_ART4.png,0.9207748498871764,1.66,
12:00130:ART4,0,12_00130_ART4.png,0.7244205104191056,1.66,
12:00140:ART4,1,12_00140_ART4.png,0.6752299057095571,1.62,
12:00141:ART4,2,12_00141_ART4.png,0.9440124416796267,1.62,
12:00154:ART4,2,12_00154_ART4.png,0.941773484193512,1.66,
12:00156:ART4,3,12_00156_ART4.png,0.4767644371128148,1.73,
12:00158:ART4,4,12_00158_ART4.png,0.8673741480825128,1.85,
12:00160:ART4,0,12_00160_ART4.png,0.2691186249105943,1.6,
12:00161:ART4,1,12_00161_ART4.png,0.01903759686214484,1.49,
12:00162:ART4,2,12_00162_ART4.png,0.9402882097658803,1.46,
12:00164:ART4,3,12_00164_ART4.png,0.0018005996639952413,1.44,
12:00166:ART4,4,12_00166_ART4.png,0.9320705342888352,1.48,
12_merged,0,12_merged.png,0.8721501194724838,1.58,
17:00022:ART4,1,17_00022_ART4.png,0.031882880320697735,1.42,
1D1A9561-7534-409B-9937-29C887F66069,2,1D1A9561-7534-409B-9937-29C887F66069.png,0.9880568117593889,1.47,
22,3,22.png,0.07731369699883099,1.5,
23,4,23.png,0.9126842051526393,1.46,
23:00004:REG_4,0,23_00004_REG_4.png,0.8882981755986317,1.44,
23:00006:REG_4,1,23_00006_REG_4.png,0.039018799116480186,1.48,
23:53135:ART4,2,23_53135_ART4.png,0.9361072855755989,1.53,
23:53149:ART4,3,23_53149_ART4.png,0.973342888594498,1.47,
23:53155:ART4,4,23_53155_ART4.png,0.9696113709541958,1.53,
23:53159:ART4,0,23_53159_ART4.png,0.8820247150311598,1.7,
23:53160:ART4,1,23_53160_ART4.png,0.9404639055846415,1.61,
23:53161:ART4,2,23_53161_ART4.png,0.9017341900172526,1.51,
23:53162:ART4,3,23_53162_ART4.png,0.5823765144879935,1.48,
25,4,25.png,0.16342297601199401,1.5,
2ACB6DFF-E424-4EB5-BD0C-90BA056BDC64,0,2ACB6DFF-E424-4EB5-BD0C-90BA056BDC64.png,0.0,1.89,
