case,fold,filename,iou,call_seconds,error
095AB379-F04E-473A-BC0D-8948B58E4090,0,095AB379-F04E-473A-BC0D-8948B58E4090.png,0.0,,
0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A,4,0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A.png,0.1627329718928346,,
10,4,10.png,0.7325916493532605,,
11,2,11.png,0.9383165094167544,1.73,
115,3,115.png,0.9585791213159026,1.43,
118,4,118.png,0.9011072140843133,1.39,
12:00114:ART4,1,12_00114_ART4.png,0.00793602370930483,1.4,
12:00115:ART4,2,12_00115_ART4.png,0.30046866863391775,1.36,
12:00116:ART4,3,12_00116_ART4.png,0.063812807228716,1.39,
12:00117:ART4,2,12_00117_ART4.png,0.9122915379864114,1.38,
12:00120:ART4,4,12_00120_ART4.png,0.9070619586942039,1.39,
12:00121:ART4,1,12_00121_ART4.png,0.11247064056876882,1.38,
12:00122:ART4,2,12_00122_ART4.png,0.09209152782443636,1.46,
12:00124:ART4,3,12_00124_ART4.png,0.05105627675495075,1.38,
12:00125:ART4,4,12_00125_ART4.png,0.0,1.37,
12:00126:ART4,1,12_00126_ART4.png,0.16918375262085075,1.37,
12:00127:ART4,2,12_00127_ART4.png,0.9536612045589644,1.42,
12:00128:ART4,3,12_00128_ART4.png,0.9432082028020539,1.5,
12:00129:ART4,4,12_00129_ART4.png,0.9627256158504321,1.4,
12:00130:ART4,0,12_00130_ART4.png,0.0008291745533940344,1.41,
12:00140:ART4,1,12_00140_ART4.png,0.9495334442532124,1.42,
12:00141:ART4,2,12_00141_ART4.png,0.928564453125,1.44,
12:00154:ART4,2,12_00154_ART4.png,0.9270775597679488,1.47,
12:00156:ART4,3,12_00156_ART4.png,0.758087108570784,1.48,
12:00158:ART4,4,12_00158_ART4.png,0.7857316703965997,1.47,
12:00160:ART4,0,12_00160_ART4.png,0.7843150469515209,1.5,
12:00161:ART4,1,12_00161_ART4.png,0.0,1.5,
12:00162:ART4,2,12_00162_ART4.png,0.9532931990732135,1.53,
12:00164:ART4,3,12_00164_ART4.png,0.02221248748023059,1.51,
12:00166:ART4,4,12_00166_ART4.png,0.9617024745966318,1.54,
12_merged,0,12_merged.png,0.7546419378873573,1.74,
17:00022:ART4,1,17_00022_ART4.png,0.03312167029338936,1.51,
1D1A9561-7534-409B-9937-29C887F66069,2,1D1A9561-7534-409B-9937-29C887F66069.png,0.9553319769456539,1.61,
22,3,22.png,0.03681039675496737,1.6,
23,4,23.png,0.9433955630559364,1.63,
23:00004:REG_4,0,23_00004_REG_4.png,0.0046534931259769935,1.61,
23:00006:REG_4,1,23_00006_REG_4.png,0.04880618328157298,1.62,
