case,fold,filename,iou,call_seconds,error
095AB379-F04E-473A-BC0D-8948B58E4090,0,095AB379-F04E-473A-BC0D-8948B58E4090.png,0.0,,
0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A,4,0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A.png,8.626181409457659e-07,,
10,4,10.png,0.7533841819556105,,
11,2,11.png,0.9014435526894785,1.48,
115,3,115.png,0.9581827107600304,1.51,
118,4,118.png,0.8994247745088617,1.6,
12:00114:ART4,1,12_00114_ART4.png,0.008519080997307459,1.53,
12:00115:ART4,2,12_00115_ART4.png,0.007934841612376918,1.57,
12:00116:ART4,3,12_00116_ART4.png,0.06125490950317852,1.58,
12:00117:ART4,2,12_00117_ART4.png,0.9057121908951543,1.55,
12:00120:ART4,4,12_00120_ART4.png,0.9025746413981123,1.53,
12:00121:ART4,1,12_00121_ART4.png,0.015868023359516797,1.53,
12:00122:ART4,2,12_00122_ART4.png,0.09172474916599939,1.48,
12:00124:ART4,3,12_00124_ART4.png,0.025631444888044412,1.48,
12:00125:ART4,4,12_00125_ART4.png,0.026094103531478022,1.46,
12:00126:ART4,1,12_00126_ART4.png,0.21273951218793255,1.47,
12:00127:ART4,2,12_00127_ART4.png,0.9495619132042225,1.51,
12:00128:ART4,3,12_00128_ART4.png,0.9359525319365112,1.53,
12:00129:ART4,4,12_00129_ART4.png,0.962507566855393,1.46,
12:00130:ART4,0,12_00130_ART4.png,0.0008207788962099186,1.49,
12:00140:ART4,1,12_00140_ART4.png,0.9493531165201702,1.47,
12:00141:ART4,2,12_00141_ART4.png,0.9158282385789246,1.47,
12:00154:ART4,2,12_00154_ART4.png,0.9238856259090825,1.48,
12:00156:ART4,3,12_00156_ART4.png,0.10418845277041754,1.48,
12:00158:ART4,4,12_00158_ART4.png,0.9438124825275327,1.5,
12:00160:ART4,0,12_00160_ART4.png,0.015671105983324548,1.52,
12:00161:ART4,1,12_00161_ART4.png,0.0,1.47,
12:00162:ART4,2,12_00162_ART4.png,0.9525080027559535,1.49,
12:00164:ART4,3,12_00164_ART4.png,0.013833166505263901,1.47,
12:00166:ART4,4,12_00166_ART4.png,0.9614702847709451,1.48,
12_merged,0,12_merged.png,0.7522341130908892,1.61,
17:00022:ART4,1,17_00022_ART4.png,0.004658234263150115,1.56,
1D1A9561-7534-409B-9937-29C887F66069,2,1D1A9561-7534-409B-9937-29C887F66069.png,0.04702985922605896,1.49,
22,3,22.png,0.026701487172403476,1.47,
23,4,23.png,0.7876633516889948,1.46,
23:00004:REG_4,0,23_00004_REG_4.png,0.11509782805068898,1.49,
23:00006:REG_4,1,23_00006_REG_4.png,0.04838013836554653,1.49,
23:53135:ART4,2,23_53135_ART4.png,0.2961149153652321,1.5,
23:53149:ART4,3,23_53149_ART4.png,0.9677412755859605,1.46,
23:53155:ART4,4,23_53155_ART4.png,0.965649753699221,1.47,
23:53159:ART4,0,23_53159_ART4.png,0.04530902957756692,1.49,
23:53160:ART4,1,23_53160_ART4.png,0.9535157495558694,1.46,
23:53161:ART4,2,23_53161_ART4.png,0.9172731820675855,1.49,
23:53162:ART4,3,23_53162_ART4.png,0.9368196077711938,1.48,
25,4,25.png,0.005187151811071702,1.49,
2ACB6DFF-E424-4EB5-BD0C-90BA056BDC64,0,2ACB6DFF-E424-4EB5-BD0C-90BA056BDC64.png,0.02981627222711022,1.69,
2CCA14C4-32BC-443D-9148-22DFE30A3DAC,1,2CCA14C4-32BC-443D-9148-22DFE30A3DAC.png,0.9477566425397121,1.7,
32,2,32.png,0.1694585834848595,1.53,
35046BA6-A370-41C1-8316-8797AF1524DD,3,35046BA6-A370-41C1-8316-8797AF1524DD.png,0.455517250436122,2.22,
3DA282A7-E829-47CF-B842-E03E0C704072,0,3DA282A7-E829-47CF-B842-E03E0C704072.png,3.6708957267949975e-05,1.44,
42,4,42.png,0.0009309103436579673,1.53,
43,0,43.png,0.15029415612659183,1.51,
43C82C9C-0E1B-4CAE-83F8-E33277D7AC41,1,43C82C9C-0E1B-4CAE-83F8-E33277D7AC41.png,0.48002320545967825,1.52,
45,2,45.png,0.049418119229490964,1.52,
498E1484-1D2E-418C-9547-A93AE9A57BB0,3,498E1484-1D2E-418C-9547-A93AE9A57BB0.png,0.06469518563763293,2.24,
4AB36890-E52B-4CCC-9CDE-FB1476FCEB82,0,4AB36890-E52B-4CCC-9CDE-FB1476FCEB82.png,0.30152389991826833,1.37,
563A71DE-DC37-4251-9F93-7D0EC49A3559,4,563A71DE-DC37-4251-9F93-7D0EC49A3559.png,0.9508161572847347,1.51,
5B10B5A8-B0A0-4DB3-9867-55B78F678079,0,5B10B5A8-B0A0-4DB3-9867-55B78F678079.png,0.8568901989683124,1.72,
5FA84190-A72E-4E26-A5B2-C17B67D4BB11,1,5FA84190-A72E-4E26-A5B2-C17B67D4BB11.png,0.8713492881742602,1.62,
641BF666-7262-4847-9393-17841CF92430,2,641BF666-7262-4847-9393-17841CF92430.png,0.18128605030163114,1.77,
69,3,69.png,0.007659851101957576,1.46,
71,4,71.png,0.026776056314589538,1.53,
7202D619-4C27-4DA4-857E-B89F78C9D8D5,0,7202D619-4C27-4DA4-857E-B89F78C9D8D5.png,0.07133008190436421,1.55,
79,1,79.png,0.0577055907687307,1.53,
85,2,85.png,0.4173045991678883,1.53,
8609F3A9-3398-4F70-809B-B7ADF17E541F,3,8609F3A9-3398-4F70-809B-B7ADF17E541F.png,0.0009842091495291673,1.71,
862ACE10-49B0-4423-B47D-F771D78D285D,4,862ACE10-49B0-4423-B47D-F771D78D285D.png,0.8007382968414738,1.84,
8CAFB06E-C92F-41CC-B701-6A38171FFAC2,0,8CAFB06E-C92F-41CC-B701-6A38171FFAC2.png,0.0,1.83,
983981FC-89B6-466B-A76B-2FC9F050B5CF,1,983981FC-89B6-466B-A76B-2FC9F050B5CF.png,0.9494975893724821,2.29,
A002S,2,A002S.png,0.009317828224899781,1.49,
A003S,3,A003S.png,0.0,1.81,
A005S,4,A005S.png,0.0023262863770560946,1.8,
A008S,0,A008S.png,0.002016008254753024,1.77,
A014S,1,A014S.png,0.0010007125975976746,1.79,
A016S,2,A016S.png,0.01182172208374381,1.71,
A018S,3,A018S.png,0.0,1.72,
A030S,4,A030S.png,6.300403225806451e-05,1.73,
A084S,0,A084S.png,0.004742073939335918,1.78,
A097S,1,A097S.png,0.0,1.79,
A100S,2,A100S.png,0.0,1.76,
A105H,3,A105H.png,0.8474212664193146,1.71,
A108P_p4,1,A108P_p4.png,0.9206308841742487,1.78,
A108P_p5,1,A108P_p5.png,0.941583230371266,1.78,
A108P_p6,1,A108P_p6.png,0.9151602678165011,1.78,
A4Ba1,4,A4Ba1.png,0.00860771013173854,1.73,
A4D-04,0,A4D-04.png,0.4290638870406576,1.63,
A4D-08,1,A4D-08.png,0.018691497492584676,1.86,
A4D-11,2,A4D-11.png,0.6999750094584944,1.77,
A4D-16,3,A4D-16.png,0.8805523109787066,1.75,
