case,fold,filename,iou,n_polygons,call_seconds,error,notes
095AB379-F04E-473A-BC0D-8948B58E4090,0,095AB379-F04E-473A-BC0D-8948B58E4090.png,0.0,1,7.05,"","A single continuous thick black boundary line delineating the land adjoining Old Bottom Free Down for an Article 4 Direc"
0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A,4,0C05FFFF-24D1-4DD1-870B-9BA6B05ED77A.png,0.5888153068606669,1,3.85,"","Red shaded region marking the Article 4 Direction area at Golgotha, Shepherdswell."
10,4,10.png,0.6148068669527897,1,2.24,"","A narrow rectangular red site boundary traced on the east side of Hooton Mount Cottage."
11,2,11.png,0.9568228897870023,1,3.13,"","Thick black outline of a rectangular field site north of the residential development."
115,3,115.png,0.7348072891078236,1,4.84,"","A solid red line defining the Southwark Central Activities Zone south of the River Thames."
118,4,118.png,0.14614212850443295,1,2.31,"","Red solid outline around the property 41 Linden Grove."
12:00114:ART4,1,12_00114_ART4.png,0.18506032220001445,5,6.03,"","Five distinct hatched regions represent properties affected by the Article 4(2) Direction at Church Street, Wymondham."
12:00115:ART4,2,12_00115_ART4.png,0.3088157361513763,1,3.61,"","A solid red-outlined thin rectangular area located along the road boundary next to buildings 126 and 134."
12:00116:ART4,3,12_00116_ART4.png,0.5288230660754895,1,3.28,"","I have traced the area shaded with green vertical hatching, which is outlined with a thin red line in some sections, rep"
12:00117:ART4,2,12_00117_ART4.png,0.8727868505892923,1,2.1,"","I have traced the red solid line boundary defining the site located east of Falcon Lodge."
12:00120:ART4,4,12_00120_ART4.png,0.26803148105281793,1,3.2,"","A single black solid line outlining a polygonal plot of land north of Church Street, labelled Westfields."
12:00121:ART4,1,12_00121_ART4.png,0.8821378174976482,1,2.68,"","A solid black outline around the field labelled 7790 and Yare Farm Cottage east of Hill House Road."
12:00122:ART4,2,12_00122_ART4.png,0.11495858063287523,3,3.81,"","I have traced three distinct red-outlined areas: Scudamore Place, an area in Windmill Green, and a residential strip alo"
12:00124:ART4,3,12_00124_ART4.png,0.5168768826049291,2,3.29,"","I have traced the red-ticked boundaries marking two distinct residential plots: one at Waveney Cottages and one along St"
12:00125:ART4,4,12_00125_ART4.png,0.3146945669512996,1,5.48,"","Red pen markings indicating several small development plots along the northern side of Church Road."
12:00126:ART4,1,12_00126_ART4.png,0.17904994655911113,1,3.08,"","Tracing the boundary of the visible landscape units identified by hatching as 'Visible Curtilage' and bold outlines as '"
12:00127:ART4,2,12_00127_ART4.png,0.9055347285275818,2,2.83,"","A red solid outline with diagonal hatching marking two fields, one north and one south of a road passing Turkey Row."
12:00128:ART4,3,12_00128_ART4.png,0.24081600811710135,4,5.42,"","Four separate polygons outlined in solid red, encompassing various agricultural fields and land parcels as specified in "
12:00129:ART4,4,12_00129_ART4.png,0.8015042115963535,2,2.95,"","Two disjoint polygons outlined in thick blue ink, representing fields north and south of a central thoroughfare near Cai"
12:00130:ART4,0,12_00130_ART4.png,0.4271534320323015,1,3.13,"","I have traced the red solid line boundary defining the site located on the north side of Riverside."
12:00140:ART4,1,12_00140_ART4.png,0.4822519445192072,3,5.96,"","I have traced the solid red outline defining the site area for the Article 4 Direction at Colney Hall."
12:00141:ART4,2,12_00141_ART4.png,0.8681935841730609,1,2.54,"","Red solid outline marking the site boundary south of numbers 10 and 12 Parklands."
12:00154:ART4,2,12_00154_ART4.png,0.8066533820436178,1,3.44,"","I have traced the red solid outline identifying the Article 4 site boundary located south of Watton Road and west of Lit"
12:00156:ART4,3,12_00156_ART4.png,0.28742865339037266,1,3.02,"","I have traced the red-coloured boundary defining the land designated under the Article 4 direction near Colney."
12:00158:ART4,4,12_00158_ART4.png,0.8659992498988106,1,4.14,"","A single red solid outline marking a large irregular land parcel bounded by Langmere Road to the north, Hall Lane to the"
12:00160:ART4,0,12_00160_ART4.png,0.6210129562415581,2,14.47,"","I have traced the thick black solid line boundary indicating the Article 4 Direction area at Tibenham airfield, includin"
12:00161:ART4,1,12_00161_ART4.png,0.4337486205959026,8,5.45,"","Red solid outline around a site south of St Ethelbert's Close, including parallel red hatching and arrow symbols."
12:00162:ART4,2,12_00162_ART4.png,0.19807205557649846,1,4.72,"","A solid red outline boundary representing a planning restriction zone encompassing the site marked 'AIRFIELD' and surrou"
12:00164:ART4,3,12_00164_ART4.png,0.6703819468297039,1,2.74,"","I have traced the rectangular section containing several buildings marked with red tick symbols, located west of Church "
12:00166:ART4,4,12_00166_ART4.png,0.9365147550933368,1,3.22,"","Red solid outline boundary encompassing Glen Lodge Farm, parking areas, and adjacent fields."
12_merged,0,12_merged.png,0.5629996030945082,2,5.24,"","I have traced the red boundary for East Farm and the blue boundary for Dawpool Farm as indicated in the map legend."
17:00022:ART4,1,17_00022_ART4.png,0.05143715715680553,1,2.49,"","A solid black line tracing the Conservation Area Boundary for Trowse with Newton as identified in the map legend."
1D1A9561-7534-409B-9937-29C887F66069,2,1D1A9561-7534-409B-9937-29C887F66069.png,0.900238405093818,1,2.43,"","I have traced the large hatched region in the centre of the plan which represents the site boundary."
22,3,22.png,0.5944986920148152,1,3.24,"","A thick black solid outline tracing a long narrow plot south of Kensington Square, between properties labeled 17 and 20."
